number,q
1,How are you doing today
2,How close are you to your family (आप अपने परिवार के कितने करीब हैं)
3,Do you have a close relationship with anyone else other than your family (क्या आपका अपने परिवार के अलावा किसी और के साथ करिबी संबंध है)
4,Over the past two weeks have you been frequently experiencing anger or irritability that feels out of control (क्या पिछले दो हफ्तों में आपको बार-बार गुस्सा या चिड़चिड़ापन महसूस हो रहा है जो काबू से बाहर हो रहा है)
5,How easy is it for you to get a good night's sleep (आपके लिए रात में अच्छी नींद लेना कितना आसान है)
6,Over the past two weeks has your interest or pleasure in doing things changed (पिछले दो हफ्ते से क्या कोई भी काम करने में आपकी रुचि या आनंद बदला है)
7,How have you been feeling for the past two weeks (पिछले दो हफ्ते से आप कैसा महसूस कर रहे हैं)
8,How is your energy level for the past two weeks (पिछले दो हफ्ते से आपकी ऊर्जा का स्तर कैसा है)
9,Over the past two weeks have you been overeating or do you not feel hungry at all (क्या आप पिछले दो हफ्ते में आप बहुत खा रहे हैं या आपको भूख लगनी बंद हो गई है)
10,Within the past two weeks have you ever felt worthless or guilty (पिछले दो हफ्ते में क्या आपने खुदको बेकार या खुदको कुसूरवार समझा है)
11,Over the past two weeks can you concentrate properly on the activities you usually do (क्या आप पिछले दो हफ्ते में रोज़ाना के काम में ठीक से ध्यान केन्द्रित कर पा रहे हैं)
12,Over the past two weeks have you noticed any change in your movement are you too slow or have you been restless and fidgety (पिछले दो हफ्तों में आपने अपने चलने फिरने में कोई बदलाव देखा है क्या आप बहुत धीमे/धीमी है या बेचैन हो गये हैं)
13,Have you previously seen a doctor regarding these problems (क्या आपने पहले इन समस्याओं के संबंध में किसी डॉक्टर को दिखाया है)
